exposure_id,exposure_pop,outcome_id,outcome_pop,exposure.n
ebi-a-GCST90002318,Hispanic meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,7541
ebi-a-GCST90002319,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8163
ebi-a-GCST90018962,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,445573
ukb-d-30120_irnt,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,349856
ukb-e-30120_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6262
ebi-a-GCST90002325,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8181
ebi-a-GCST90002390,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,408112
ebi-a-GCST90018744,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,128028
ebi-a-GCST008038,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,19803
ebi-a-GCST90002331,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8185
ebi-a-GCST90002391,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,408112
ebi-a-GCST90018745,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,135482
bbj-a-41,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,62076
ebi-a-GCST90002342,Hispanic meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,7543
ebi-a-GCST90002343,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,7043
ebi-a-GCST90018967,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,444975
ukb-d-30130_irnt,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,349856
ukb-e-30130_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6262
bbj-a-44,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,62076
ebi-a-GCST90002353,Hispanic meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,7542
ebi-a-GCST90002354,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8165
ebi-a-GCST90018968,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,432666
ukb-d-30140_irnt,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,349856
ukb-e-30140_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6262
bbj-a-49,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,108208
ebi-a-GCST008039,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,29328
ebi-a-GCST90002360,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8188
ebi-a-GCST90018969,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,499097
ukb-d-30080_irnt,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,350474
ukb-e-30080_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6281
bbj-a-50,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,108794
ebi-a-GCST90002365,Hispanic meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,9302
ebi-a-GCST90002366,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8189
ebi-a-GCST90018971,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,503987
ukb-d-30010_irnt,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,350475
ukb-e-30010_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6281
bbj-a-52,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,136597
GCST90278642,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
ukb-b-20175,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,436419
ukb-e-4080_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6551
ukb-e-4080_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8641
ebi-a-GCST008046,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,33096
ebi-a-GCST90018755,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,111667
ebi-a-GCST90018975,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,455659
ebi-a-GCST90101748,Sub-Saharan African meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,24600
ieu-b-111,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,441016
bbj-a-57,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,109029
ebi-a-GCST90014015,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,389404
GCST90278646,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
ieu-a-1055,Global Urate Genetics Consortium (GUGC) (EUR),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,110347
ukb-e-30880_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6206
ukb-e-30880_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8411
ebi-a-GCST90013998,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,389608
ebi-a-GCST90018728,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,148767
ebi-a-GCST90018948,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,492819
GCST90278623,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
ukb-e-30670_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6213
ukb-e-30670_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8422
ebi-a-GCST90000618,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,496946
ukb-e-30890_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6046
ukb-e-30890_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,7380
ebi-a-GCST90103753,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,21949
GCST90278648,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
ukb-b-9405,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,462166
ebi-a-GCST008052,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,33904
GCST90278649,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
ieu-a-79,GIANT (EUR),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,210082
bbj-a-58,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,107964
ebi-a-GCST008049,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,28608
ebi-a-GCST90002377,SAS (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,8188
ebi-a-GCST90002407,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,408112
ebi-a-GCST90018978,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,504825
ukb-e-30000_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,6281
ebi-a-GCST90018729,Biobank Japan,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,165419
ebi-a-GCST90018949,UKBB + BBJ meta-analysis,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,525535
finngen_R10_WEIGHT_IRN,FinnGen (Release 10),ebi-a-GCST90018807,UKBB + BBJ + FinnGen,297440
GCST90278650,Taiwan Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,92615
GCST90296613,Mexican Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,5681
ukb-b-11842,UK Biobank,ebi-a-GCST90018807,UKBB + BBJ + FinnGen,461632
bbj-a-12,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),62076
ebi-a-GCST90002294,Hispanic meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),2969
ebi-a-GCST90002295,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8149
ebi-a-GCST90002379,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),408112
ebi-a-GCST90018946,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),441764
ukb-e-30160_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6262
bbj-a-1,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),158284
ebi-a-GCST008025,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),49335
finngen_R10_BMI_IRN,FinnGen (Release 10),finngen_R10_J10_COPD,FinnGen (Release 10),290820
ukb-b-19953,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),461460
ukb-b-2303,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),454884
ukb-e-23104_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8658
ebi-a-GCST006979,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),426824
GCST006433,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),394929
GCST90278621,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ebi-a-GCST008055,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),28520
ebi-a-GCST90018730,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),83025
ebi-a-GCST90018950,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),436491
GCST009777,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),418642
ebi-a-GCST90002301,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8142
ebi-a-GCST90002381,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),408112
ebi-a-GCST90018733,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),93063
ukb-e-30150_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6262
ebi-a-GCST008035,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),33063
ebi-a-GCST90018736,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),74970
ebi-a-GCST90018956,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),390103
ebi-a-GCST90101746,Sub-Saharan African meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),24616
GCST90278635,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ieu-b-109,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),403943
bbj-a-70,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),159095
ebi-a-GCST008053,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),49796
ebi-a-GCST90018959,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),525444
finngen_R10_HEIGHT_IRN,FinnGen (Release 10),finngen_R10_J10_COPD,FinnGen (Release 10),292707
GCST90013466,African meta-analysis (Nigeria + US),finngen_R10_J10_COPD,FinnGen (Release 10),41389
GCST90278637,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ukb-b-10787,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),461950
ebi-a-GCST008034,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),11178
ebi-a-GCST90018738,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),71221
ebi-a-GCST90018958,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),415403
GCST90278632,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
GCST90278633,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ukb-b-15590,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),462117
ukb-e-49_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8782
bbj-a-31,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),72866
ebi-a-GCST008037,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),32221
ebi-a-GCST90018961,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),416487
ebi-a-GCST90101745,Sub-Saharan African meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),24515
ieu-b-110,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),440546
bbj-a-36,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),62076
ebi-a-GCST90002318,Hispanic meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),7541
ebi-a-GCST90002319,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8163
ebi-a-GCST90018962,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),445573
ukb-d-30120_irnt,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),349856
ukb-e-30120_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6262
ebi-a-GCST90002325,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8181
ebi-a-GCST90002390,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),408112
ebi-a-GCST90018744,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),128028
ebi-a-GCST008038,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),19803
ebi-a-GCST90002331,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8185
ebi-a-GCST90002391,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),408112
ebi-a-GCST90018745,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),135482
bbj-a-41,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),62076
ebi-a-GCST90002342,Hispanic meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),7543
ebi-a-GCST90002343,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),7043
ebi-a-GCST90018967,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),444975
ukb-d-30130_irnt,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),349856
ukb-e-30130_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6262
bbj-a-44,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),62076
ebi-a-GCST90002353,Hispanic meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),7542
ebi-a-GCST90002354,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8165
ebi-a-GCST90018968,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),432666
ukb-d-30140_irnt,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),349856
ukb-e-30140_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6262
bbj-a-49,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),108208
ebi-a-GCST008039,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),29328
ebi-a-GCST90002360,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8188
ebi-a-GCST90018969,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),499097
ukb-d-30080_irnt,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),350474
ukb-e-30080_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6281
bbj-a-50,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),108794
ebi-a-GCST90002365,Hispanic meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),9302
ebi-a-GCST90002366,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8189
ebi-a-GCST90018971,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),503987
ukb-d-30010_irnt,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),350475
ukb-e-30010_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6281
bbj-a-52,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),136597
GCST90278642,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ukb-b-20175,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),436419
ukb-e-4080_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6551
ukb-e-4080_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8641
ebi-a-GCST008046,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),33096
ebi-a-GCST90018755,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),111667
ebi-a-GCST90018975,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),455659
ebi-a-GCST90101748,Sub-Saharan African meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),24600
ieu-b-111,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),441016
bbj-a-57,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),109029
ebi-a-GCST90014015,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),389404
GCST90278646,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ieu-a-1055,Global Urate Genetics Consortium (GUGC) (EUR),finngen_R10_J10_COPD,FinnGen (Release 10),110347
ukb-e-30880_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6206
ukb-e-30880_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8411
ebi-a-GCST90013998,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),389608
ebi-a-GCST90018728,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),148767
ebi-a-GCST90018948,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),492819
GCST90278623,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ukb-e-30670_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6213
ukb-e-30670_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8422
ebi-a-GCST90000618,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),496946
ukb-e-30890_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6046
ukb-e-30890_CSA,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),7380
ebi-a-GCST90103753,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),21949
GCST90278648,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ukb-b-9405,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),462166
ebi-a-GCST008052,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),33904
GCST90278649,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
ieu-a-79,GIANT (EUR),finngen_R10_J10_COPD,FinnGen (Release 10),210082
bbj-a-58,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),107964
ebi-a-GCST008049,Majority Hispanic mega-analysis (Wojcik),finngen_R10_J10_COPD,FinnGen (Release 10),28608
ebi-a-GCST90002377,SAS (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),8188
ebi-a-GCST90002407,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),408112
ebi-a-GCST90018978,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),504825
ukb-e-30000_AFR,AFR (Pan-UK Biobank),finngen_R10_J10_COPD,FinnGen (Release 10),6281
ebi-a-GCST90018729,Biobank Japan,finngen_R10_J10_COPD,FinnGen (Release 10),165419
ebi-a-GCST90018949,UKBB + BBJ meta-analysis,finngen_R10_J10_COPD,FinnGen (Release 10),525535
finngen_R10_WEIGHT_IRN,FinnGen (Release 10),finngen_R10_J10_COPD,FinnGen (Release 10),297440
GCST90278650,Taiwan Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),92615
GCST90296613,Mexican Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),5681
ukb-b-11842,UK Biobank,finngen_R10_J10_COPD,FinnGen (Release 10),461632
bbj-a-12,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),62076
ebi-a-GCST90002294,Hispanic meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),2969
ebi-a-GCST90002295,SAS (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),8149
ebi-a-GCST90002379,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),408112
ebi-a-GCST90018946,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),441764
ukb-e-30160_AFR,AFR (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),6262
bbj-a-1,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),158284
ebi-a-GCST008025,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),49335
finngen_R10_BMI_IRN,FinnGen (Release 10),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),290820
ukb-b-19953,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),461460
ukb-b-2303,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),454884
ukb-e-23104_CSA,SAS (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),8658
ebi-a-GCST006979,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),426824
GCST006433,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),394929
GCST90278621,Taiwan Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),92615
ebi-a-GCST008055,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),28520
ebi-a-GCST90018730,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),83025
ebi-a-GCST90018950,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),436491
GCST009777,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),418642
ebi-a-GCST90002301,SAS (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),8142
ebi-a-GCST90002381,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),408112
ebi-a-GCST90018733,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),93063
ukb-e-30150_AFR,AFR (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),6262
ebi-a-GCST008035,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),33063
ebi-a-GCST90018736,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),74970
ebi-a-GCST90018956,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),390103
ebi-a-GCST90101746,Sub-Saharan African meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),24616
GCST90278635,Taiwan Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),92615
ieu-b-109,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),403943
bbj-a-70,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),159095
ebi-a-GCST008053,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),49796
ebi-a-GCST90018959,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),525444
finngen_R10_HEIGHT_IRN,FinnGen (Release 10),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),292707
GCST90013466,African meta-analysis (Nigeria + US),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),41389
GCST90278637,Taiwan Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),92615
ukb-b-10787,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),461950
ebi-a-GCST008034,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),11178
ebi-a-GCST90018738,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),71221
ebi-a-GCST90018958,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),415403
GCST90278632,Taiwan Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),92615
GCST90278633,Taiwan Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),92615
ukb-b-15590,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),462117
ukb-e-49_CSA,SAS (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),8782
bbj-a-31,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),72866
ebi-a-GCST008037,Majority Hispanic mega-analysis (Wojcik),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),32221
ebi-a-GCST90018961,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),416487
ebi-a-GCST90101745,Sub-Saharan African meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),24515
ieu-b-110,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),440546
bbj-a-36,Biobank Japan,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),62076
ebi-a-GCST90002318,Hispanic meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),7541
ebi-a-GCST90002319,SAS (Pan-UK Biobank),GCST90399691,Global Biobank Meta-analysis Initiative (AFR),8163
ebi-a-GCST90018962,UKBB + BBJ meta-analysis,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),445573
ukb-d-30120_irnt,UK Biobank,GCST90399691,Global Biobank Meta-analysis Initiative (AFR),349856
